Id,Title,Location,PriceEuro,PriceKuna,Area,CijenaKvadratEuro,CijenaKvadratKuna,Posted,Link,Photo
33,"Opatija, Kosićevo 1S+DB, 50 m2",Primorsko-goranska,500,3758,50,10,75,Objavljeno prije 24 h,https://www.index.hr/oglasi/opatija--kosicevo-1s-db--50-m2/oid/3247422,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3247422/XML-4274-263189_20211222011125487_0_.jpg?preset=oglas-slika-view
34,"Rijeka, Centar 2S+DB, 104 m2",Primorsko-goranska,1000,7517,104,9,72,Objavljeno prije 24 h,https://www.index.hr/oglasi/rijeka--centar-2s-db--104-m2/oid/3247404,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3247404/XML-4274-262930_20211222011125612_0_.jpg?preset=oglas-slika-view
35,"Rijeka, Bulevard 1S+DB stan sa saunom, 62 m2",Primorsko-goranska,650,4886,62,10,78,Objavljeno prije 24 h,https://www.index.hr/oglasi/rijeka--bulevard-1s-db-stan-sa-saunom--62-m2/oid/3247500,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3247500/XML-4274-266004_20211222011124909_0_.jpg?preset=oglas-slika-view
37,Otok VIR - NAJAM APARTMANA,Zadarska,100,752,55,1,13,Objavljeno prije 24 h,https://www.index.hr/oglasi/otok-vir---najam-apartmana/oid/3246902,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3246902/XML-4121-234478_20211222011123675_0_.jpg?preset=oglas-slika-view
38,"Rijeka, Srdoči, stan 2s+db, balkon",Primorsko-goranska,470,3533,60,7,58,Objavljeno prije 24 h,https://www.index.hr/oglasi/rijeka--srdoci--stan-2s-db--balkon/oid/3247520,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3247520/XML-180-266859_20211222011121675_0_.jpg?preset=oglas-slika-view
39,"Bulevard, 1S+DB, 50m2, 350 eura+režije",Primorsko-goranska,350,2631,50,7,52,Objavljeno prije 24 h,https://www.index.hr/oglasi/bulevard--1s-db--50m2--350-eura-rezije/oid/3246600,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3246600/XML-181-266905_20211222011018282_0_.jpg?preset=oglas-slika-view
40,"STAN, NAJAM, ZAGREB, JARUN, 46 m2, 2-soban",Grad Zagreb,500,3758,46,10,81,Objavljeno prije 24 h,https://www.index.hr/oglasi/stan--najam--zagreb--jarun--46-m2--2-soban/oid/3246571,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3246571/XML-4100-243655-0075821_20211222011000329_0_.jpg?preset=oglas-slika-view
41,Stan za najam u blizini centra grada 2S+DB   62 m2,Primorsko-goranska,400,3007,62,6,48,Objavljeno prije 24 h,https://www.index.hr/oglasi/stan-za-najam-u-blizini-centra-grada-2s-db---62-m2/oid/3246559,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3246559/XML-4013-205702_20211222010956704_0_.jpg?preset=oglas-slika-view
42,"GRAČANI - 103 m2, 4-sobni + TERASA + 2 PARKINGA - NOVONAMJEŠTENI",Grad Zagreb,1100,8269,103,10,80,Objavljeno prije 24 h,https://www.index.hr/oglasi/gracani---103-m2--4-sobni---terasa---2-parkinga---novonamjesteni/oid/3246540,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3246540/s1843_20211222010858609_0_.jpg?preset=oglas-slika-view
43,"Opatija, stan 1S+DB 55m2 sa pogledom na more!",Primorsko-goranska,500,3758,55,9,68,Objavljeno prije 24 h,https://www.index.hr/oglasi/opatija--stan-1s-db-55m2-sa-pogledom-na-more-/oid/3246522,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3246522/XML-4079-205774_20211222010834812_0_.jpg?preset=oglas-slika-view
